Id,Label,0,1,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
47326968864-27,Danish Fishers Producer Organisation,org,1,8,0.20345,0.21746,92.661211
5552918474-13,Finland Chamber of Commerce (Keskuskauppakamari),org,4,8,0.195705,0.208521,55.125723
33130841043-14,"European Federation of Food, Agriculture and Tourism Trade Unions",org,1,8,0.216095,0.231613,850.003888
72103751229-92,Veolia Environnement,org,1,8,0.201676,0.214528,256.214468
76648765687-29,NASDAQ,org,3,8,0.204488,0.218947,2277.617784
524686116124-73,"Atlantic Council of the United States, Inc",org,0,8,0.216406,0.232378,1484.358538
09256701147-51,European Builders Confederation,org,3,9,0.175697,0.184332,132.749924
680443918500-51,A.P. Møller - Mærsk A/S,org,0,8,0.202287,0.216266,766.159401
463595049063-40,Atria Oyj,org,4,9,0.181475,0.192972,20.454792
64879142323-90,European Chemical Industry Council,org,0,7,0.26492,0.294165,18411.169205
335382815910-56,Low Impact Fishers of Europe,org,1,9,0.19744,0.211196,601.185534
828617341174-24,ALLRAIL Alliance of Rail New Entrants,org,0,9,0.198417,0.21145,150.532333
43245696854-79,"EUROCINEMA, Association de producteurs de cinéma et de télévision",org,2,8,0.200868,0.215627,2777.984281
18940431725-51,F. Hoffmann-La Roche Ltd,org,1,9,0.168228,0.175927,0.333333
2663914841-28,Comité Européen des Entreprises Vins,org,-1,9,0.192511,0.205492,216.059686
23527541824-60,ArcelorMittal,org,0,7,0.25236,0.27779,11198.670432
18191445640-83,European Biogas Association,org,0,8,0.212432,0.225451,172.326497
00162715418-92,Plastics Recyclers Europe,org,1,8,0.213411,0.226603,363.302682
31367501249-92,EPPA SA,org,1,8,0.22315,0.239234,1534.369998
90518441599-14,Open Doors International,org,4,9,0.188706,0.201261,357.566772
294692024505-14,DENSO International Europe,org,-1,9,0.183861,0.194166,422.820984
76704342721-41,Orange,org,2,8,0.205325,0.220145,1742.964813
04657143399-39,Eli Lilly and Company,org,0,8,0.217738,0.234806,986.493304
36636102190-34,ÖBB-Holding AG,org,0,8,0.205115,0.217428,114.513539
