name,party,country,norm_name
Bart GROOTHUIS,Renew Europe Group,Netherlands,BART GROOTHUIS
Elisabeth GROSSMANN,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Austria,ELISABETH GROSSMANN
Christophe GRUDLER,Renew Europe Group,France,CHRISTOPHE GRUDLER
Elisabetta GUALMINI,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,ELISABETTA GUALMINI
Cristina GUARDA,Group of the Greens/European Free Alliance,Italy,CRISTINA GUARDA
Bernard GUETTA,Renew Europe Group,France,BERNARD GUETTA
Martin GÜNTHER,The Left group in the European Parliament - GUE/NGL,Germany,MARTIN GÜNTHER
Maria GUZENINA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Finland,MARIA GUZENINA
Enikő GYŐRI,Patriots for Europe Group,Hungary,ENIKŐ GYŐRI
András GYÜRK,Patriots for Europe Group,Hungary,ANDRÁS GYÜRK
Michalis HADJIPANTELA,Group of the European People's Party (Christian Democrats),Cyprus,MICHALIS HADJIPANTELA
Svenja HAHN,Renew Europe Group,Germany,SVENJA HAHN
Roman HAIDER,Patriots for Europe Group,Austria,ROMAN HAIDER
Andrzej HALICKI,Group of the European People's Party (Christian Democrats),Poland,ANDRZEJ HALICKI
Niels Flemming HANSEN,Group of the European People's Party (Christian Democrats),Denmark,NIELS FLEMMING HANSEN
Rima HASSAN,The Left group in the European Parliament - GUE/NGL,France,RIMA HASSAN
Gerald HAUSER,Patriots for Europe Group,Austria,GERALD HAUSER
Martin HÄUSLING,Group of the Greens/European Free Alliance,Germany,MARTIN HÄUSLING
Mircea-Gheorghe HAVA,Group of the European People's Party (Christian Democrats),Romania,MIRCEA-GHEORGHE HAVA
Valérie HAYER,Renew Europe Group,France,VALÉRIE HAYER
Anja HAZEKAMP,The Left group in the European Parliament - GUE/NGL,Netherlands,ANJA HAZEKAMP
Hannes HEIDE,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Austria,HANNES HEIDE
